cell_segid,centroid_x,centroid_y,centroid_z,cell_type_x,cell_subtype,id,cell_type_y,pt_position,soma_x_nm,soma_y_nm,soma_z_nm
648518346349538015,55232,40624,1127,pyramidal,pyramidal cell,454,e,[55363 40753  1109],221452,221452,2214520
648518346349523030,106144,71360,666,pyramidal,pyramidal cell,349,e,[105998  71204    669],423992,423992,4239920
648518346349539599,98608,54976,900,pyramidal,pyramidal cell,100,e,[98729 55031   902],394916,394916,3949160
648518346349523254,58112,67600,381,pyramidal,pyramidal cell,257,e,[58043 67572   354],232172,232172,2321720
648518346349537609,110240,75424,1913,pyramidal,pyramidal cell,219,e,[110279  75696   1922],441116,441116,4411160
648518346349539517,68784,50880,1413,pyramidal,pyramidal cell,114,e,[68575 50858  1424],274300,274300,2743000
648518346349537814,83808,59376,1702,pyramidal,pyramidal cell,8,e,[83614 59202  1732],334456,334456,3344560
648518346349539653,97344,47200,734,pyramidal,pyramidal cell,22,e,[97512 47153   721],390048,390048,3900480
648518346349537883,57952,46672,1541,pyramidal,pyramidal cell,5,e,[58075 47005  1530],232300,232300,2323000
648518346349539828,91312,47136,1793,pyramidal,pyramidal cell,317,e,[91436 47068  1796],365744,365744,3657440
648518346349537516,67504,56400,1061,pyramidal,pyramidal cell,13,e,[67633 56398  1056],270532,270532,2705320
648518346349537331,107680,50768,1905,pyramidal,pyramidal cell,214,e,[107425  50869   1903],429700,429700,4297000
648518346349537160,65024,46672,547,pyramidal,pyramidal cell,431,e,[65145 46881   535],260580,260580,2605800
648518346349537716,86560,45440,1067,pyramidal,pyramidal cell,90,e,[86447 45337  1037],345788,345788,3457880
648518346349536680,106736,57792,1106,pyramidal,pyramidal cell,93,e,[106453  57747   1087],425812,425812,4258120
648518346349537242,64592,63152,1249,pyramidal,pyramidal cell,171,e,[64546 63189  1276],258184,258184,2581840
648518346349537167,67856,42912,190,pyramidal,pyramidal cell,447,e,[67918 42884   187],271672,271672,2716720
648518346349534057,115872,63408,181,pyramidal,pyramidal cell,246,e,[115627  63147    194],462508,462508,4625080
648518346349536748,51152,42784,1860,pyramidal,pyramidal cell,230,e,[51552 42974  1851],206208,206208,2062080
648518346349537515,111888,71600,481,pyramidal,pyramidal cell,433,e,[112041  71606    489],448164,448164,4481640
648518346349532739,96064,46960,261,pyramidal,pyramidal cell,105,e,[96241 47039   276],384964,384964,3849640
648518346349532180,115376,71376,1380,pyramidal,pyramidal cell,342,e,[115513  71448   1376],462052,462052,4620520
648518346349539789,88288,50928,754,pyramidal,pyramidal cell,79,e,[88158 50925   769],352632,352632,3526320
648518346349537718,91040,63408,1729,pyramidal,pyramidal cell,109,e,[91334 63425  1739],365336,365336,3653360
648518346349539464,101440,55024,1413,pyramidal,pyramidal cell,49,e,[101597  55229   1412],406388,406388,4063880
648518346349539336,54448,63312,2072,pyramidal,pyramidal cell,195,e,[54333 63172  2087],217332,217332,2173320
648518346349539513,82816,75536,489,pyramidal,pyramidal cell,234,e,[82704 75115   509],330816,330816,3308160
648518346349536679,67552,46832,155,pyramidal,pyramidal cell,128,e,[67466 46777   159],269864,269864,2698640
648518346349524141,53584,51056,1670,pyramidal,pyramidal cell,127,e,[53418 50921  1662],213672,213672,2136720
648518346349537271,110672,48448,63,pyramidal,pyramidal cell,293,e,[110783  48465     38],443132,443132,4431320
648518346349535300,104592,68880,58,pyramidal,pyramidal cell,245,e,[104322  69112     93],417288,417288,4172880
648518346349537513,73280,67424,1584,pyramidal,pyramidal cell,161,e,[73186 67258  1575],292744,292744,2927440
648518346349539590,91440,72736,1089,pyramidal,pyramidal cell,429,e,[91263 72622  1096],365052,365052,3650520
648518346349531263,111968,44512,2107,pyramidal,pyramidal cell,295,e,[111995  44617   2120],447980,447980,4479800
